hr_id,meeting_id,Title,Type,Recurrence,DayOfWeek,DayOfMonth,StartTime,EndTime,Location,Attendees
HR01,HR01-W1,Weekly HR leadership sync,sync,weekly,Mon,,09:00,09:30,Teams,
HR01,HR01-W2,Director office hours,meeting,weekly,Thu,,16:00,16:30,Teams,
HR01,HR01-M1,Town hall prep,meeting,monthly,,3,13:00,13:45,Room Delft,
HR01,HR01-M2,Board meeting,meeting,monthly,,5,14:00,15:30,Room Aurora,
HR01,HR01-M3,1:1 Daan,1:1,monthly,,6,10:00,10:30,Teams,
HR01,HR01-M4,Skip-level 1:1s,1:1,monthly,,7,15:00,16:00,Teams,
HR01,HR01-M5,Vendor review — HRIS,review,monthly,,9,14:00,14:45,Teams,
HR01,HR01-M6,Diversity council,meeting,monthly,,12,10:00,11:00,Teams,
HR01,HR01-M7,1:1 Aisha,1:1,monthly,,14,10:30,11:00,Teams,
HR01,HR01-M8,Budget review Q3,review,monthly,,15,11:00,12:00,Room Delft,
HR01,HR01-M9,Policy sign-off,deadline,monthly,,21,16:00,16:30,Teams,
HR01,HR01-M10,Succession planning,workshop,monthly,,23,09:30,11:00,Room Aurora,
HR01,HR01-M11,Q-review with CFO,review,monthly,,25,10:00,11:00,Room Aurora,
HR01,HR01-M12,Comp & benefits review,review,monthly,,27,11:00,12:00,Room Delft,
HR02,HR02-W1,Weekly HR leadership sync,sync,weekly,Mon,,09:00,09:30,Teams,
HR02,HR02-W2,BP team standup,sync,weekly,Tue,,09:30,10:00,Teams,
HR02,HR02-M1,Engagement workshop,workshop,monthly,,2,11:00,12:30,Room Delft,
HR02,HR02-M2,Onboarding buddy sync,sync,monthly,,7,09:30,10:00,Teams,
HR02,HR02-M3,Manager 1:1 — Sales,1:1,monthly,,10,14:00,14:30,Teams,
HR02,HR02-M4,Grievance hearing,meeting,monthly,,11,10:00,11:00,Room Maas,
HR02,HR02-M5,Headcount planning — Sales,meeting,monthly,,13,14:00,15:00,Teams,
HR02,HR02-M6,Exit interview,interview,monthly,,16,15:00,15:45,Teams,
HR02,HR02-M7,Org design workshop,workshop,monthly,,19,13:00,14:30,Room Delft,
HR02,HR02-M8,Job architecture review,review,monthly,,20,10:00,11:00,Room Delft,
HR02,HR02-M9,Wellbeing initiative,meeting,monthly,,21,15:00,15:30,Teams,
HR02,HR02-M10,Performance calibration,review,monthly,,23,10:30,12:00,Room Aurora,
HR02,HR02-M11,Talent review — Sales,review,monthly,,24,11:00,12:00,Room Aurora,
HR02,HR02-M12,Manager 1:1 — Production,1:1,monthly,,25,13:30,14:00,Teams,
HR03,HR03-W1,Hiring sync,sync,weekly,Wed,,09:30,10:00,Teams,
HR03,HR03-W2,Recruitment standup,sync,weekly,Fri,,13:00,13:30,Teams,
HR03,HR03-M1,Career fair prep,workshop,monthly,,4,13:00,14:00,Room Delft,
HR03,HR03-M2,Intake — Finance role,meeting,monthly,,6,11:00,11:45,Teams,
HR03,HR03-M3,Interview — Data Analyst,interview,monthly,,7,14:00,14:45,Room Maas,
HR03,HR03-M4,Offer review,review,monthly,,8,16:00,16:30,Teams,
HR03,HR03-M5,Pipeline review with Sanne,review,monthly,,11,10:00,10:30,Teams,
HR03,HR03-M6,Hiring manager sync — Eng,meeting,monthly,,12,15:00,15:30,Teams,
HR03,HR03-M7,Interview — Production Tech,interview,monthly,,14,10:00,10:45,Teams,
HR03,HR03-M8,Sourcing strategy,workshop,monthly,,15,10:00,11:00,Room Delft,
HR03,HR03-M9,Panel interview — Manager,interview,monthly,,16,13:30,15:00,Room Aurora,
HR03,HR03-M10,Reference calls block,meeting,monthly,,19,09:30,10:30,Teams,
HR03,HR03-M11,Interview — Sales Lead,interview,monthly,,20,11:00,11:45,Teams,
HR03,HR03-M12,Agency review,review,monthly,,21,14:00,14:30,Teams,
HR04,HR04-W1,Weekly HR leadership sync,sync,weekly,Mon,,09:00,09:30,Teams,
HR04,HR04-W2,L&D check-in,sync,weekly,Thu,,11:00,11:30,Teams,
HR04,HR04-M1,Trainer briefing,meeting,monthly,,2,11:00,12:00,Room Delft,
HR04,HR04-M2,Skills workshop,workshop,monthly,,3,10:00,12:00,Room Delft,
HR04,HR04-M3,Curriculum planning,workshop,monthly,,4,13:00,14:30,Room Delft,
HR04,HR04-M4,Vendor demo — SkillForge,meeting,monthly,,7,15:00,15:45,Teams,
HR04,HR04-M5,E-learning build session,workshop,monthly,,8,13:00,15:00,Room Maas,
HR04,HR04-M6,Budget reconciliation,review,monthly,,10,14:00,14:45,Teams,
HR04,HR04-M7,Training impact analysis,review,monthly,,18,10:00,11:00,Teams,
HR04,HR04-M8,New-hire orientation,meeting,monthly,,20,09:00,10:00,Room Aurora,
HR04,HR04-M9,Compliance training review,review,monthly,,21,11:00,11:45,Teams,
HR04,HR04-M10,Content review — onboarding,review,monthly,,22,14:00,15:00,Teams,
HR04,HR04-M11,Cohort 2 session,workshop,monthly,,24,09:30,11:30,Room Aurora,
HR04,HR04-M12,Leadership cohort kickoff,workshop,monthly,,27,09:30,11:00,Room Aurora,
HR05,HR05-W1,Weekly HR leadership sync,sync,weekly,Mon,,09:00,09:30,Teams,
HR05,HR05-W2,Ops wrap-up,sync,weekly,Fri,,15:00,15:30,Room Maas,
HR05,HR05-M1,Audit prep,review,monthly,,2,14:00,15:00,Room Delft,
HR05,HR05-M2,Process improvement workshop,workshop,monthly,,4,13:00,14:30,Room Delft,
HR05,HR05-M3,Pension reconciliation,review,monthly,,6,10:00,11:00,Teams,
HR05,HR05-M4,Payroll run,deadline,monthly,,8,09:00,11:00,Teams,
HR05,HR05-M5,Offboarding processing,meeting,monthly,,10,11:00,11:45,Teams,
HR05,HR05-M6,Contract renewals,review,monthly,,12,15:00,15:45,Teams,
HR05,HR05-M7,Benefits enrollment review,review,monthly,,19,11:00,12:00,Room Maas,
HR05,HR05-M8,Compliance check,review,monthly,,20,10:00,10:30,Teams,
HR05,HR05-M9,New-starter setup,meeting,monthly,,21,09:30,10:30,Teams,
HR05,HR05-M10,Onboarding admin block,meeting,monthly,,22,13:00,14:30,Teams,
HR05,HR05-M11,HRIS data cleanup,meeting,monthly,,26,13:30,15:00,Teams,
HR05,HR05-M12,Payroll cut-off check,deadline,monthly,,27,10:00,10:30,Teams,
